brand,conversion_rate(%)
dotemu,50.0
htl,20.0
pixiebelles,20.0
casela,14.285714285714285
prajm-evroznak,12.5
lamel,11.11111111111111
yoshioki,11.11111111111111
yokito,11.11111111111111
doona,10.0
maja,9.090909090909092
kursiv,9.090909090909092
ogreen,8.724832214765101
ecologystone,7.6923076923076925
bouncin,7.6923076923076925
likatoprofessional,6.606606606606606
atlas,6.25
superfine,6.122448979591836
lykan,5.88235294117647
toway,5.861136158701533
roingto,5.833333333333333
jinyu,5.729166666666666
constancy,5.64516129032258
chaod,5.555555555555555
asil,5.405405405405405
kaier,5.369127516778524
ea,5.1937441643324
drgans,5.188679245283019
hikma,4.878048780487805
skil,4.827586206896552
tyrex,4.635922330097087
unikum,4.615384615384616
kunlun,4.56140350877193
yota,4.545454545454546
vasden,4.545454545454546
casada,4.470890961724027
plamers,4.444444444444445
raceready,4.436860068259386
uragan,4.370761115297664
zanry,4.3478260869565215
crusader,4.3478260869565215
trichup,4.3478260869565215
sisley,4.23728813559322
hjc,4.096385542168675
metoyou,4.054054054054054
moony,4.026503567787971
vasin,4.0
drhedison,3.8461538461538463
simurg,3.829787234042553
roadcruza,3.816046966731898
petitfee,3.8095238095238098
heidelbergcement,3.7735849056603774
orium,3.71599203715992
samga,3.65296803652968
salvatoreferragamo,3.5897435897435894
merries,3.5411565266528533
nutricia,3.5407445977609995
joonies,3.5398230088495577
abk,3.5294117647058822
kainar,3.522099447513812
krasnaapresna,3.4482758620689653
exclusive,3.414634146341464
wess,3.414634146341464
deestone,3.404255319148936
bloomsbury,3.3175355450236967
sunfull,3.307888040712468
huggies,3.3035854078597153
merejbaspasy,3.296703296703297
apple,3.295592702005825
lamelprofessional,3.278688524590164
aeolus,3.2347140039447733
firestone,3.2346995037676898
drsea,3.225806451612903
andeks,3.1578947368421053
organiczone,3.149606299212598
samsung,3.134168073831706
hollicy,3.0985915492957745
otani,3.0927835051546393
instyle,3.061224489795918
foxconn,3.0303030303030303
bars,3.000826201499634
sweety,2.9828850855745723
sordiant,2.9525797793021176
hitechnic,2.945205479452055
pampers,2.945154019534185
vdovichev,2.941176470588235
piter-trejd,2.941176470588235
mediheal,2.912621359223301
cordiant,2.9071995793461496
carmex,2.898550724637681
genesis,2.897661416785982
forlux,2.8846153846153846
trianglegroup,2.8735632183908044
tokler,2.8694404591104736
bel,2.857142857142857
haken,2.857142857142857
sunwide,2.7928854916948405
acron,2.7777777777777777
manuoki,2.774694783573807
triangle,2.750749719749166
powertrac,2.7304014325082866
fitnessbody,2.727272727272727
halei,2.724177071509648
rodi,2.705882352941176
kumano,2.7027027027027026
vard,2.7027027027027026
marcher,2.7027027027027026
sonyinteractiveentertainment,2.657935285053929
roadmarch,2.649325626204239
energenie,2.6490066225165565
compasal,2.6367507369800194
voltman,2.6322173702086364
santacruz,2.631578947368421
tamron,2.631578947368421
heinz,2.631578947368421
screecherswild,2.631578947368421
joyroad,2.6044370218240087
melissadoug,2.564102564102564
matador,2.554808677257657
nokian,2.553860227286054
luxuryconcept,2.5
yvessaintlaurent,2.4956758092414133
viatti,2.4936867668828593
akom,2.493064680975325
moschino,2.490059066517392
navien,2.4858152232095065
bestoy,2.479720371958056
roadx,2.4762222593025194
monisstil,2.4691358024691357
diamond,2.4546827794561934
zuru,2.450980392156863
volta,2.424732269145282
korin,2.4193548387096775
dagee,2.417582417582418
patrino,2.4154589371980677
joko,2.4096385542168677
boto,2.4096385542168677
armos,2.4
likebook,2.380952380952381
elvin,2.380952380952381
element,2.3710546574287914
yokohama,2.3553673679822733
steba,2.3529411764705883
faans,2.3529411764705883
galanz,2.336380786533159
modern,2.33362143474503
amalbooks,2.3307436182019976
arg,2.3139103598629633
elenberg,2.311198818507492
rockdale,2.3081052066559313
scivation,2.307692307692308
genki,2.302631578947368
comfee,2.3010184835910974
omron,2.2784384770475996
voyager,2.272727272727273
coty,2.2705157314304247
riche,2.263648468708389
homage,2.2556390977443606
wtflabz,2.2556390977443606
tatami,2.247191011235955
naturalist,2.247191011235955
gislaved,2.240601008270454
electronicarts,2.237762237762238
esse,2.2346368715083798
enchantimals,2.2222222222222223
hatchimals,2.2222222222222223
mazzini,2.2222222222222223
apacer,2.220488239884071
belkin,2.209944751381215
zobo,2.2082018927444795
evamosaic,2.2058823529411766
kirkland,2.1801491681009755
ariston,2.177283153941166
lanvin,2.1707164383362207
gamma,2.168265387689848
tunga,2.1602558355001644
oppo,2.1580635511533606
krosno,2.1459227467811157
maxi,2.142857142857143
veritas,2.1378941742383755
victoriassecret,2.1361815754339117
amtel,2.132407636994793
kivi,2.122346167686218
m-wave,2.112676056338028
taxi,2.1052631578947367
chayka,2.096839546191248
sweetyhome,2.083333333333333
sowell,2.083333333333333
universal,2.083333333333333
portcase,2.079284881461329
prestigio,2.0778932637004424
kapsen,2.076800189337909
gk,2.0618556701030926
garanterm,2.0536361439961346
genau,2.043283066651318
sava,2.0424871805920626
giorgioarmani,2.037489812550937
madina,2.03125
naturasiberica,2.013422818791946
viviennesabo,2.01020102010201
goodyear,2.0064004173312866
huawei,2.001666500582003
nestogen,1.996816669078281
rowenta,1.9939308561936067
europrint,1.992619926199262
sheba,1.967005076142132
dfz,1.9607843137254901
gigawatt,1.9595751969852688
comforser,1.9488384705776012
defalucy,1.948051948051948
sun,1.9417475728155338
g.skill,1.9417475728155338
naranda,1.937984496124031
illumico,1.910828025477707
lorealparis,1.910828025477707
strong,1.910828025477707
caravanmusic,1.9101123595505618
vokul,1.9047619047619049
thermex,1.9034757724831999
fitwell,1.9031141868512111
haday,1.9003595274781717
goodride,1.8928050372418028
meike,1.8867924528301887
kiddieart,1.8790849673202614
perilla,1.8783510279444662
schecter,1.873536299765808
wellneo,1.8691588785046727
epson,1.8674804542447034
graffitisound,1.8633540372670807
badlandgames,1.8578352180936994
polistil,1.8518518518518516
tuarex,1.8518518518518516
rimmel,1.8518518518518516
naomi,1.8404907975460123
samo,1.839080459770115
transcend,1.8332908488401733
solite,1.828358208955224
zarkoperfume,1.824817518248175
voltmaster,1.824632539280284
w-star,1.8211920529801324
newbright,1.8181818181818181
acqua,1.8134715025906734
hyper,1.808066759388039
maxxis,1.807402903397431
ocz,1.8018018018018018
pirelli,1.7990257870737818
aoteli,1.7955801104972375
naughtydog,1.7931034482758619
goo.n,1.7913593256059008
kabrita,1.7869656622284513
hibertek,1.7857142857142856
asel,1.779040045441636
alexandre.j,1.7741935483870968
magma,1.768172888015717
on,1.7674418604651163
hipp,1.7647058823529411
leefitness,1.7642341619887731
carhome,1.763367463026166
koelf,1.7543859649122806
libbey,1.7543859649122806
lina,1.7521902377972465
kormoran,1.751231334532093
bulgari,1.7505780210446846
brahner,1.7500000000000002
bosher,1.748682883084856
bioworld,1.744186046511628
ecocool,1.7412451361867705
tcl,1.7400290004833414
tizianaterenzi,1.7391304347826086
kingston,1.739107486870926
michelin,1.7359014861433875
xiaomi,1.7270613175347993
enlightenbrick,1.7241379310344827
nexen,1.7234012248967385
willmark,1.7215826842214104
bestlife,1.718213058419244
aeg,1.7170762444864522
originalamnet,1.7167381974248928
santa-cruz,1.7094017094017095
bsn,1.708724680321376
sofit,1.7045454545454544
next,1.6980146290491118
farroad,1.6952563006187433
t-rex,1.694915254237288
hifly,1.691418021882551
foligain,1.6901408450704223
leadbros,1.688471430168847
promozer,1.688411358403684
colorfix,1.6867469879518073
valentino,1.683816651075772
mojdodyr,1.680672268907563
alilo,1.6785564414603442
konami,1.6771488469601679
cerruti,1.675977653631285
bridgestone,1.6744954766875435
babycare,1.6736401673640167
rochas,1.6728624535315983
daewoo,1.6726403823178015
micmax,1.6711590296495957
dymatize,1.669195751138088
denn,1.6689321854704726
jbl,1.6684111091362708
optiplus,1.6666666666666667
vionne,1.6666666666666667
achilles,1.6666666666666667
redpower,1.6666666666666667
gorizont,1.6666666666666667
daiwerina,1.6611295681063125
zhejiang,1.6602809706257982
bourjois,1.6591928251121077
natrol,1.658374792703151
nitto,1.657303370786517
sailun,1.6564497195774095
beyond,1.6555876081775993
westa,1.6554986204178164
exnihilo,1.6519823788546255
barer,1.650943396226415
qiangchi,1.6444306546695624
mutant,1.6432217104444167
xinyu,1.642935377875137
haier,1.64272266026577
avtotent,1.639344262295082
saeshin,1.639344262295082
oribel,1.639344262295082
merach,1.639344262295082
ubisoft,1.6283834789172866
selby,1.627770151010002
artel,1.6257646354203528
skylor,1.625
delkor,1.6233766233766231
nutrilon,1.618416463201953
montblanc,1.6181229773462782
grow-with-me,1.6155243284580825
xlmedia,1.6129032258064515
ching-ching,1.6129032258064515
midea,1.6092788714227317
ovation,1.608744394618834
remington,1.6082825887087104
hilo,1.6072214883311318
weifeng,1.6044260027662516
hubert,1.6025321503339647
beko,1.6021844442084452
vitek,1.5888894446389568
mirage,1.588242266208368
mof,1.5873015873015872
sharp,1.5873015873015872
joe,1.5873015873015872
fli,1.5845824411134906
timberk,1.5818848668473928
uvelirnyetradicii,1.5772870662460567
infinity,1.576263328697265
work,1.574803149606299
a-mega,1.5742128935532234
lancome,1.573730801240826
tigar,1.5729565863982153
pikate,1.57244477723699
crona,1.5696533682145193
aria,1.5675426463808206
cacharel,1.5670342426001163
holder,1.5643802647412757
pnb,1.5634971282705807
cressi,1.5625
traxxas,1.5625
lioele,1.5625
beeline,1.560693641618497
neoclassic,1.5555555555555556
mhp,1.550387596899225
masstone,1.548913043478261
dynamic,1.5474919957310567
habilead,1.545446064865201
bond,1.544943820224719
aplus,1.543460601137287
x-foot,1.5384615384615385
glanzen,1.5384615384615385
seasonic,1.5384615384615385
zeetex,1.537838931606637
atoll,1.5375854214123008
tp-link,1.53686585356621
versace,1.535528126903897
toyo,1.5346958756578144
oral-b,1.5338526063511084
roadstone,1.5316077003121749
lacoste,1.5286567430252251
goform,1.5240833932422717
pqi,1.520912547528517
renova,1.5206864327584744
vivo,1.51685523062823
weider,1.5151515151515151
riken,1.5151515151515151
taitong,1.5151515151515151
varta,1.5102184913505667
babyswing,1.5055668016194332
zhejiangjiajia,1.5053763440860215
bombora,1.5037593984962405
cortland,1.5029614160019171
maxler,1.4990006662225184
olto,1.4983083615273078
jimcarrey,1.4981273408239701
elari,1.4950373759343982
gemei,1.4948453608247423
indesit,1.4943305878978395
miescarpe,1.4925373134328357
nirmal,1.4925373134328357
pika,1.4925373134328357
azzaro,1.4917127071823204
shenma,1.4912357198918635
creed,1.4904485340424043
kelly,1.48975791433892
oasis,1.4877540806277143
jigott,1.4814814814814816
powerman,1.4814814814814816
montale,1.478640813111803
dunu,1.477832512315271
riga,1.4770057066129574
adile,1.4760147601476015
tv-shop,1.4730878186968839
lucente,1.4718859478451065
kakadu,1.4705882352941175
martinez,1.4705882352941175
starline,1.4679847718121857
mtx,1.4678899082568808
polo,1.4675052410901468
mutsy,1.466275659824047
kpt,1.465201465201465
repetto,1.4634146341463417
daewooelectronics,1.4598540145985401
kumho,1.4576526765518973
nika,1.4571455131383242
sho-me,1.454656815832791
regent,1.4533258803801008
boucheron,1.4519056261343013
niio,1.4512471655328798
eneos,1.4492753623188406
turbosound,1.4492753623188406
vardoven,1.4492753623188406
mammut,1.4457090126115042
plantronics,1.4449652497171488
decoroom,1.4438660249484334
mercedes,1.4431082331174838
bauer,1.4424568296970324
ciaobimbi,1.4423076923076923
iwalk,1.440299582313121
rode,1.44
tefal,1.4394966062591628
dermacol,1.4344707672245165
bbk,1.4342058085335245
ferre,1.4336917562724014
huanger,1.4329580348004094
rempire,1.4285714285714286
sony,1.428079301231863
sven,1.4277153400548799
zte,1.4254989246236183
westerndigital,1.4245014245014245
berlingerhaus,1.423948220064725
philips,1.4175993786487027
tecno,1.4168297455968688
bradex,1.4124293785310735
klima,1.4119527573039696
nacon,1.4104372355430184
magic,1.4084507042253522
roxykids,1.4084507042253522
guerlain,1.4079785450888367
doliva,1.405152224824356
ural,1.4018691588785046
mexx,1.3993541442411195
hoover,1.3986560400062509
bamboo,1.3986013986013985
crybabies,1.3966480446927374
zing,1.3953488372093024
jinjianfeng,1.39426800929512
ast,1.3924050632911391
stark,1.390355508623724
lovular,1.3901760889712698
stealth,1.3888888888888888
mif,1.3888888888888888
alphaline,1.3879709187045606
m-audio,1.3876251137397635
microlab,1.3874066168623265
vasilisa,1.3859275053304905
marmiton,1.3856812933025404
onhillsport,1.384083044982699
aardwolf,1.383399209486166
dinamical,1.3824884792626728
evga,1.377726750861079
continental,1.377140965052226
dunlop,1.3764168997497424
laudio,1.3754045307443366
eurolux,1.3733717129336
braun,1.3720567564354496
lg,1.3719419270939164
jinga,1.3713803470647186
doublefish,1.36986301369863
terminus,1.36986301369863
annaite,1.36986301369863
totaku,1.36986301369863
ravenol,1.36986301369863
qplay,1.36986301369863
tomford,1.3675213675213675
peterhof,1.3673959445037354
ramili,1.3671875
kukmara,1.3616494526323935
starway,1.3614703880190604
gosh,1.361349511689849
wenyi,1.3605442176870748
dior,1.3591586533753746
guangwei,1.3582342954159592
partner,1.3576580398812048
delmax,1.3553768245457254
bombbar,1.353637901861252
geil,1.352299298519096
garage,1.3513513513513513
jet,1.3502023603033704
organicshop,1.3477088948787064
texet,1.3472806117382237
gimi,1.3469827586206895
simpleparenting,1.342281879194631
ersport,1.3412476456823241
houseofseasons,1.3396375098502757
royalblack,1.335113484646195
revuele,1.3333333333333335
harleybaby,1.3333333333333335
niznekamsksina,1.328502415458937
muscletech,1.3206550449022716
brateck,1.3192845758809988
kristal,1.3192612137203166
hoco,1.3180220579323718
stagg,1.317833341684622
creo,1.3157894736842104
mr.pixel,1.3157894736842104
palmers,1.3143483023001095
brkpress,1.3142174432497014
peg-perego,1.3126209924925634
glamglow,1.3087128002868411
tsubaki,1.308139534883721
dunhill,1.3078826440438318
seagate,1.3075965130759652
baldessarini,1.3064133016627077
adata,1.3028030003947888
ballarini,1.3019529293940912
startradingab,1.2987012987012987
barty,1.2987012987012987
hotmom,1.2968299711815563
defender,1.296129805634044
huter,1.293951430170874
edge,1.2928109710367488
adil,1.2915950881211427
avizor,1.2915129151291513
lemaks,1.2910798122065728
xp-pen,1.2880241161962183
unit,1.2869373101353216
changhong,1.2859480944587327
burberry,1.2858347386172007
redmond,1.285150406126123
sonel,1.2826183104820876
uniforce,1.282051282051282
privia,1.282051282051282
steelseries,1.2785231051484922
diamant,1.2774358378817792
isntree,1.2767710049423393
baboo,1.276595744680851
mosconi,1.276595744680851
capcom,1.2736395214203011
chigo,1.2733060482037288
chloe,1.2711864406779663
hankook,1.2703089305920279
akvafor,1.266039349871685
irest,1.2658227848101267
kiturami,1.264367816091954
svc,1.2639598303177215
autopower,1.263537906137184
floresan,1.2591815320041972
qvs,1.257396449704142
elizavecca,1.2561857632280167
advan,1.2557077625570776
maribel,1.2552301255230125
aqua,1.2545739675901726
topicrem,1.2485811577752552
sms,1.2484993997599039
tacx,1.2481857764876634
birusa,1.2445887445887447
eurogold,1.2430939226519337
stels,1.2419081488067123
awei,1.2413212707763517
serebro,1.2392638036809815
deta,1.2373602980308676
gucci,1.2369648952494285
eviza,1.2368300503893723
kingslong,1.2367491166077738
hyperx,1.2347040017638629
cityrover,1.2345679012345678
zaharov,1.2345679012345678
denso,1.2345679012345678
alexandermcqueen,1.2345679012345678
comfortzone,1.2345679012345678
olmio,1.234320120421475
avatar,1.231212024304445
nikai,1.2307692307692308
canon,1.2300842169175934
ballu,1.2295132056562497
acer,1.2253877765632133
redragon,1.2250092803733361
leone,1.2244897959183674
wster,1.224403630990078
rusgoldart,1.2238529426105613
dox,1.2231126107127794
nintendo,1.2229539040451554
rosetta,1.2209302325581395
skazocnyjpatrul,1.2195121951219512
konig,1.2195121951219512
medalist,1.218769043266301
belecoo,1.218393102132415
blenderbottle,1.21765601217656
oursson,1.2168724039080325
orico,1.2161632012553942
babyliss,1.21548301051802
remax,1.2136591824350416
hori,1.2121212121212122
palit,1.2117553202958236
zlatek,1.209902093449017
babyzen,1.2086890372749557
secretgourmet,1.2048192771084338
zvezda,1.2048192771084338
avermedia,1.2048192771084338
jocelyn,1.2048192771084338
ford,1.2048192771084338
blumarine,1.2012012012012012
polaris,1.200258120025812
king,1.1983072862110864
saferich,1.1979259789021992
trussardi,1.1976047904191618
similac,1.1952191235059761
porsche,1.1946241911398707
marshall,1.1908010617976135
nicecooker,1.1907124429450289
hellomaggie,1.1904761904761905
buttonblue,1.1904761904761905
ocag,1.1904761904761905
bmw,1.1897174421074994
eltempo,1.1896622453165595
rosa,1.1862103052020263
moonybaby,1.1859838274932615
maxcity,1.1853448275862069
ipower,1.1844331641285957
jabra,1.1839829719302915
qazprotein,1.183431952662722
s.a.n.,1.1831726555652935
nokia,1.1811291419687107
popurri,1.1804384485666104
zeta,1.1802667336696708
wacom,1.1797616151787886
ningbo,1.1764705882352942
racer,1.1761221813258873
mersco,1.1727912431587177
micio,1.1727078891257996
sapphire,1.1718268163315653
i-baby,1.1673151750972763
maxpro,1.1661807580174928
leader,1.164021164021164
federal,1.1627906976744187
cettua,1.1627906976744187
sumdex,1.1617013303353942
pupa,1.1578449905482042
vt,1.1571254567600486
alaia,1.1560693641618496
leven,1.1560693641618496
optima,1.1547344110854503
steelpower,1.1544011544011543
damper,1.153846153846154
finish,1.152832674571805
teploross,1.152771308802981
ventura,1.1520737327188941
delta,1.1518900865340824
crucial,1.151315789473684
canyon,1.1508274079899845
crystallux,1.1494252873563218
paiste,1.1494252873563218
kenzo,1.1478730587440917
kehan,1.1428571428571428
tridevatoecarstvo,1.1428571428571428
janome,1.1424241731468265
meinl,1.14140773620799
beautycreations,1.1401743796109993
dauscher,1.1395659594360383
rapoo,1.1390602752728998
chanel,1.1386576943509827
kipocket,1.1363636363636365
rivertoys,1.136152368361255
pocketbook,1.1347829270078336
yasin,1.1339269489369435
erdenet,1.133651551312649
maxwell,1.1333880486184391
deepcool,1.132694001369997
k-star,1.1299435028248588
rucelf,1.1282051282051282
metsui,1.1280690112806901
haeger,1.1278195488721803
volkl,1.1278195488721803
terris,1.1244377811094453
centek,1.1242270938729624
uralsport,1.1235955056179776
bayerlux,1.1235955056179776
deerma,1.1235955056179776
aimoto,1.1220985870564615
carwel,1.1214953271028036
vlk,1.1194029850746268
furreal,1.1173184357541899
force,1.116338904688362
dsquared,1.1146496815286624
harper,1.1141352733192584
qazaqkhan,1.1111111111111112
parkwood,1.1111111111111112
rimax,1.1102423768569194
daisy,1.1093810821331258
mart,1.1093209371120678
alvitek,1.1081667068176344
gerber,1.1076280041797284
x-race,1.1074197120708749
biotherm,1.107011070110701
bfgoodrich,1.103965422969771
homy,1.102588686481304
ultravit,1.098901098901099
joby,1.098901098901099
nivea,1.0968229954614221
bambola,1.0942801165957854
cenmax,1.0934182590233545
xerox,1.0929439538340473
becker,1.092896174863388
qq,1.092896174863388
veston,1.090836969456565
adagio,1.08991825613079
panasonic,1.0887718806175657
olympus,1.0880316518298714
imetec,1.0869565217391304
hightechway,1.0869565217391304
monkey,1.0869565217391304
centurion,1.086749285033365
rivacase,1.0865815798551224
pituso,1.0829929988331388
purederm,1.0817307692307692
alpinapabliser,1.0810810810810811
meizu,1.0808733857899397
yamaha,1.0804720831871155
protherm,1.0802469135802468
lenovo,1.0799859431941954
nutrex,1.0792525773195876
holicy,1.078167115902965
exide,1.0781224083595953
hotwheels,1.0752688172043012
phanteks,1.0752688172043012
tutu,1.0752688172043012
tizo,1.0752688172043012
mutlu,1.075032909170689
max,1.06951871657754
babymoov,1.06951871657754
gkhair,1.069435833849969
sinbo,1.0677466863033873
thomas,1.0663379166366713
akro,1.0638297872340425
givenchy,1.0609972567371309
grape,1.060585973750497
avs,1.0602205258693809
krause,1.0593742301059375
wingoffly,1.0590836792489429
lite-on,1.055662188099808
lorelli-bertoni,1.054702872884691
nasomatto,1.0539994224660698
deviser,1.0534236267870578
dds,1.053159478435306
nikon,1.053021075839102
scarlett,1.0528701169662
lamarkahome,1.0526315789473684
ballistix,1.0526315789473684
lirene,1.0518766435572555
pyrex,1.0516934046345812
bertoni,1.0505706508762713
apollo,1.049888880373975
triumphnord,1.0498687664041995
zeppelin,1.0498409331919405
akai,1.0491803278688525
sonny,1.0471204188481675
toshiba,1.046465945212329
beyerdynamic,1.0452961672473868
saturn,1.0451984291533527
joyor,1.0443864229765014
now,1.0441767068273093
moulinex,1.0439907387918332
rinnai,1.0422632000916274
damixa,1.0416666666666665
kicx,1.039487781235651
shogun,1.0389610389610389
bardahl,1.0385446434794732
vestel,1.0378827192527245
agu,1.0362694300518136
akg,1.0355695632597928
genius,1.0310590631364562
sjrc,1.0309278350515463
sabi,1.0309278350515463
kleancolor,1.0309278350515463
delux,1.0302225441667674
cort,1.0296870821075155
maytoni,1.0282776349614395
flight,1.027621416415761
squier,1.0275380189066996
san,1.0273972602739725
havit,1.0269576379974326
mars,1.0268562401263823
eksmo,1.0259917920656634
hellion,1.0256410256410255
fengnix,1.0256410256410255
llarri,1.0256410256410255
babyono,1.0256410256410255
crossstreet,1.0230179028132993
tuka,1.0225763612217795
total,1.0223942848587255
redken,1.0217113665389528
abtoys,1.0204081632653061
celine,1.0204081632653061
alesis,1.0202543096949288
moser,1.0179350460494425
joie,1.0172603193234315
ozkaplan,1.0169491525423728
kx,1.0169491525423728
profiko,1.0169491525423728
kangkang,1.015228426395939
aerocool,1.0145417653026716
homeart,1.0140845070422535
hisense,1.0134684624616614
minerva,1.0133578995854444
rovigo,1.0121457489878543
babytime,1.0112430123735945
ibox,1.0110077006661313
continent,1.0102440636359344
raveltex,1.0101010101010102
longstyle,1.0101010101010102
pearl,1.0101010101010102
fujida,1.009501187648456
teknum,1.0092514718250631
nioxin,1.0091743119266057
rainbo,1.009152781037315
alis,1.0087147464489123
casio,1.007976159172583
huile,1.007705986959099
deluxe,1.0068872585716424
granhel,1.0060820405647992
spinmop,1.0052447552447552
maxtrek,1.0052162573353618
tech-line,1.0036801605888257
calorie,1.002049647005238
satura,1.0017752979964494
alteco,1.0002244093226043
swisshome,1.0000421958732435
gf,0.9986150594066623
inoi,0.9983083060086464
arrivo,0.9982638888888888
electrolux,0.9973577059689854
pasabahce,0.9967866745360352
hobbyworld,0.9966777408637874
musclepharm,0.9966777408637874
santeri,0.9961606309017329
husqvarna,0.9959257582616569
garrett,0.9946081767261687
axis,0.9941115344648425
panouge,0.9940357852882704
art-visage,0.9933774834437087
d-clinic,0.9933774834437087
candy,0.9932768891413174
verbatim,0.9915014164305949
wonderlab,0.9915014164305949
wagner,0.990916597853014
gamemax,0.9901980396079215
edelform,0.9900990099009901
kawai,0.989068193649141
calvinklein,0.9887005649717515
davidoff,0.9882643607164917
ducray,0.9857612267250823
cullmann,0.9852216748768473
mauboussin,0.9852216748768473
petro-canada,0.9832272990167726
sakura,0.98159509202454
microsoft,0.9804264855212017
batik,0.9803921568627451
botas,0.9803921568627451
ga-de,0.9798775153105862
nakamichi,0.9794824208681308
fly,0.9792004321988115
toro,0.9786004834050581
magicbeartoys,0.9771986970684038
logitech,0.9761109684048292
crown,0.9736292544210432
phantom,0.9735416503101202
granicom,0.9716599190283401
fisher-price,0.9711779448621554
nutrilak,0.9708737864077669
larocheposay,0.9708737864077669
ams,0.9685230024213075
razer,0.967925602581135
bernina,0.9671179883945842
garnier,0.9667571234735414
hp,0.9667414336943656
wingo,0.9658725048293626
mystery,0.9649608479000238
brother,0.9645020724837922
topface,0.9638554216867471
sokolov,0.9630951641020633
softoy,0.9628610729023385
sinotex,0.9627459187944746
allocacoc,0.9615384615384616
troyka,0.9610983981693364
babys,0.9599470374048328
sports,0.9592326139088728
dinastia,0.9586692908386769
arpenaz,0.9584664536741214
nutribullet,0.9578544061302682
shakira,0.9577464788732395
falmec,0.9569377990430622
marley,0.9564293304994688
csmedica,0.9541984732824428
mancera,0.9540164090822362
byredo,0.9533537623425264
